"Carlson, Dylan",L,
"Torres, Gleyber",R,
"Cordero, Franchy",L,
"Santana, Carlos",R,
"Swanson, Dansby",R,
"Davis, Khris",R,
"Kelly, Carson",R,
"Mondesi, Adalberto",L,
"Haase, Eric",R,
"Gregorius, Didi",L,
"Lowe, Nate",L,
"Almonte, Abraham",L,
"Lavarnway, Ryan",R,
"Taylor, Michael A.",R,
"Murphy, Daniel",L,
Batter,Bat Side,
"Peterson, Jace",L,
"Kemp, Tony",L,
"Myers, Wil",R,
"O'Neill, Tyler",R,
"Ruf, Darin",R,
"McGuire, Reese",L,
"Wallach, Chad",R,
"Rengifo, Luis",L,
"Arauz, Jonathan",L,
"Tsutsugo, Yoshi",L,
"Story, Trevor",R,
"Stanton, Giancarlo",R,
"Forsythe, Logan",R,
"Brinson, Lewis",R,
"Davidson, Matt",R,
Batter,Bat Side,
"Diaz, Aledmys",R,
"Guzman, Ronald",L,
"Viloria, Meibrys",L,
"Cronenworth, Jake",L,
"Bishop, Braden",R,
"Marisnick, Jake",R,
"Haggerty, Sam",L,
"Smith, Dwight",L,
"Longoria, Evan",R,
"Marte, Ketel",L,
"Edman, Tommy",L,
"Harrison, Josh",R,
"Chang, Yu",R,
"Peralta, David",L,
"Nimmo, Brandon",L,
Batter,Bat Side,
"Frazier, Adam",L,
"Drury, Brandon",R,
"Aquino, Aristides",R,
"Severino, Pedro",R,
"Huff, Sam",R,
"Thomas, Lane",R,
"Goins, Ryan",L,
"Donaldson, Josh",R,
"Brosseau, Mike",R,
"Wade Jr, LaMonte",L,
"Upton, Justin",R,
"Betts, Mookie",R,
"Bregman, Alex",R,
"Soto, Juan",L,
"Dickerson, Alex",L,
Batter,Bat Side,
"Ozuna, Marcell",R,
"Lindor, Francisco",R,
"Grossman, Robbie",L,
"Murphy, John Ryan",R,
"Farmer, Kyle",R,
"Dixon, Brandon",R,
"Velazquez, Andrew",L,
"Escobar, Eduardo",R,
"Long Jr., Shed",L,
"Diaz, Isan",L,
"Vargas, Ildemaro",R,
"Davis, Jonathan",R,
"Flowers, Tyler",R,
"Frazier, Clint",R,
"Crawford, Brandon",L,
Batter,Bat Side,
"Cervelli, Francisco",R,
"Kiermaier, Kevin",L,
"Gardner, Brett",L,
"Souza Jr., Steven",R,
"Mercado, Oscar",R,
"Chirinos, Robinson",R,
"Franco, Maikel",R,
"Albies, Ozzie",R,
"Tejeda, Anderson",L,
"Hudson, Joe",R,
"Smith, Pavin",L,
"Mateo, Jorge",R,
"Espinal, Santiago",R,
"Sanchez, Jesus",L,
"Panik, Joe",L,
Batter,Bat Side,
"Ramirez, Jose",R,
"Gyorko, Jedd",R,
"Goldschmidt, Paul",R,
"Rodgers, Brendan",R,
"Greiner, Grayson",R,
"Mondesi, Adalberto",R,
"Santana, Danny",L,
"Kratz, Erik",R,
"Robles, Victor",R,
"Tucker, Cole",R,
"Caratini, Victor",L,
"Phegley, Josh",R,
"Leon, Sandy",L,
"Beaty, Matt",L,
"Cano, Robinson",L,
Batter,Bat Side,
"Camargo, Johan",L,
"Adames, Willy",R,
"Rengifo, Luis",R,
"Hays, Austin",R,
"Fuentes, Josh",R,
"Pillar, Kevin",R,
"Santana, Domingo",R,
"Canha, Mark",R,
"Ona, Jorge",R,
"Heineman, Tyler",R,
"Contreras, William",R,
"Basabe, Luis Alexander",L,
"Walker, Christian",R,
"Correa, Carlos",R,
"d'Arnaud, Travis",R,
Batter,Bat Side,
"Garneau, Dustin",R,
"Sogard, Eric",L,
"Edman, Tommy",R,
"Locastro, Tim",R,
"Laureano, Ramon",R,
"Kingery, Scott",R,
"Adrianza, Ehire",L,
"Apostel, Sherten",R,
"Robert, Luis",R,
"Davis, J.D.",R,
"Dozier, Hunter",R,
"McBroom, Ryan",R,
"Arenado, Nolan",R,
"Piscotty, Stephen",R,
"Gamel, Ben",L,
Batter,Bat Side,
"Garcia, Jose",R,
"Gomes, Yan",R,
"Tucker, Cole",L,
"Lopes, Tim",R,
"Polanco, Jorge",L,
"Hernandez, Enrique",R,
"White, Evan",R,
"Aguilar, Jesus",R,
"Vargas, Ildemaro",L,
"Davis, Jaylin",R,
"Schoop, Jonathan",R,
"Anderson, Brian",R,
"Markakis, Nick",L,
"Reyes, Franmil",R,
"Baez, Javier",R,
Batter,Bat Side,
"Zimmer, Bradley",L,
"Castro, Willi",L,
"Ervin, Phillip",R,
"Tapia, Raimel",L,
"Senzel, Nick",R,
"Rodriguez, Sean",R,
"McCann, James",R,
"Ahmed, Nick",R,
"Demeritte, Travis",R,
"Stephenson, Tyler",R,
"Turner, Justin",R,
"Olivares, Edward",R,
"Gurriel Jr., Lourdes",R,
"Reyes, Victor",L,
"Hosmer, Eric",L,
Batter,Bat Side,
"Tatis Jr., Fernando",R,
"Starling, Bubba",R,
"Freeman, Mike",L,
"Wolters, Tony",L,
"Garcia, Greg",L,
"Altuve, Jose",R,
"Wong, Kolten",L,
"Mercer, Jordy",R,
"Adrianza, Ehire",R,
"Jones, Taylor",R,
"Gurriel, Yuli",R,
"Guerrero Jr., Vladimir",R,
"Nottingham, Jacob",R,
"Jones, JaCoby",R,
"Grossman, Robbie",R,
Batter,Bat Side,
"Sandoval, Pablo",L,
"Abreu, Jose",R,
"Andujar, Miguel",R,
"Ravelo, Rangel",R,
"Adell, Jo",R,
"Happ, Ian",R,
"Wendle, Joey",L,
"Maybin, Cameron",R,
"Simmons, Andrelton",R,
"Ward, Taylor",R,
"Engel, Adam",R,
"Nola, Austin",R,
"Wade, Tyler",L,
"Goodrum, Niko",R,
"Machado, Manny",R,
Batter,Bat Side,
"Lin, Tzu-Wei",L,
"Akiyama, Shogo",L,
"Guillorme, Luis",L,
"Mathis, Jeff",R,
"Cron, Kevin",R,
"Rendon, Anthony",R,
"Stubbs, Garrett",L,
"Murphy, Sean",R,
"Bart, Joey",R,
"Pham, Tommy",R,
"Santander, Anthony",R,
"Castro, Starlin",R,
"Contreras, Willson",R,
"Martinez, J.D.",R,
"Castro, Harold",L,
Batter,Bat Side,
"Cabrera, Asdrubal",R,
"Hernandez, Cesar",L,
"Choi, Ji-Man",R,
"Martin, Jason",L,
"Fletcher, David",R,
"Evans, Phillip",R,
"Haseley, Adam",L,
"Young, Andy",R,
"Slater, Austin",R,
"Dickerson, Corey",L,
"Stevenson, Andrew",L,
"Gimenez, Andres",L,
"Inciarte, Ender",L,
"Hamilton, Billy",L,
"Moore, Dylan",R,
Batter,Bat Side,
"Alberto, Hanser",R,
"Romine, Austin",R,
"Hiura, Keston",R,
"Barnes, Austin",R,
"Mejia, Francisco",R,
"Villar, Jonathan",L,
"Marte, Ketel",R,
"Sandoval, Pablo",R,
"France, Ty",R,
"Polanco, Jorge",R,
"Cabrera, Miguel",R,
"Jay, Jon",L,
"Odom, Joseph",R,
"Profar, Jurickson",R,
"Candelario, Jeimer",R,
Batter,Bat Side,
"Knapp, Andrew",R,
"Holt, Brock",L,
"Tauchman, Mike",L,
"Marte, Starling",R,
"Astudillo, Willians",R,
"Mathisen, Wyatt",R,
"Dyson, Jarrod",L,
