last_name, first_name,year,n_bolts,hp_to_1b,sprint_speed,
Barnhart, Tucker,2020,0,4.73,24.3,
McMahon, Ryan,2020,0,4.61,25.9,
Lewis, Kyle,2020,1,4.42,27.9,
Molina, Yadier,2020,0,4.99,23.0,
Harrison, Josh,2020,0,4.42,26.8,
Wendle, Joey,2020,0,4.24,28.2,
Vazquez, Christian,2020,0,4.65,25.0,
Yelich, Christian,2020,0,4.37,28.1,
Kelly, Carson,2020,0,4.84,25.6,
Gallo, Joey,2020,0,4.55,27.1,
Wong, Kolten,2020,1,4.29,26.6,
Aquino, Aristides,2020,0,,27.9,
Castro, Starlin,2020,0,,26.1,
Maybin, Cameron,2020,0,4.39,27.6,
Kiner-Falefa, Isiah,2020,0,4.25,28.1,
Heineman, Tyler,2020,0,,25.9,
Kemp, Matt,2020,0,4.68,25.9,
Dahl, David,2020,0,4.39,26.8,
Hernandez, Enrique,2020,0,4.45,27.2,
Segura, Jean,2020,0,4.24,28.3,
Sisco, Chance,2020,0,4.74,24.1,
Lowe, Nate,2020,0,,27.0,
Devers, Rafael,2020,0,4.38,26.5,
Garcia, Jose,2020,0,,26.7,
Straw, Myles,2020,4,4.18,28.6,
Vogt, Stephen,2020,0,,26.1,
Beaty, Matt,2020,0,,26.9,
Ervin, Phillip,2020,0,4.55,27.5,
Rojas, Miguel,2020,0,4.66,26.5,
Slater, Austin,2020,0,4.43,27.8,
DeShields, Delino,2020,0,4.21,28.6,
Adames, Willy,2020,0,4.38,28.2,
Haggerty, Sam,2020,1,,28.7,
Tsutsugo, Yoshi,2020,0,4.55,25.8,
Dozier, Hunter,2020,0,4.49,28.0,
Torrens, Luis,2020,1,,26.0,
Arraez, Luis,2020,0,4.49,26.5,
Kingery, Scott,2020,0,4.28,28.6,
Rengifo, Luis,2020,0,4.32,27.6,
Pence, Hunter,2020,0,4.46,27.8,
Moreland, Mitch,2020,0,4.69,24.2,
Cabrera, Asdrubal,2020,0,4.83,24.8,
Smith, Dominic,2020,0,4.50,26.0,
Upton, Justin,2020,0,4.62,26.9,
Taylor, Michael A.,2020,1,4.30,28.2,
Engel, Adam,2020,22,4.06,30.3,
Sano, Miguel,2020,0,4.78,26.5,
Mountcastle, Ryan,2020,1,4.33,28.0,
Hoerner, Nico,2020,0,4.26,28.8,
Hilliard, Sam,2020,4,4.22,29.3,
Hampson, Garrett,2020,16,4.21,29.6,
Grisham, Trent,2020,8,4.34,29.1,
Stallings, Jacob,2020,0,5.09,23.5,
Rosario, Eddie,2020,1,4.32,26.8,
Castro, Willi,2020,0,4.31,28.2,
Paredes, Isaac,2020,0,4.89,25.5,
Grandal, Yasmani,2020,0,5.08,23.6,
Castellanos, Nick,2020,1,4.37,27.7,
Hechavarria, Adeiny,2020,1,4.49,26.6,
Soto, Juan,2020,0,4.28,26.1,
Votto, Joey,2020,0,4.70,25.2,
VanMeter, Josh,2020,0,,26.6,
Anderson, Tim,2020,14,4.16,28.7,
Inciarte, Ender,2020,0,4.29,26.1,
Calhoun, Kole,2020,0,4.63,26.0,
Harrison, Monte,2020,3,4.39,28.8,
Trevino, Jose,2020,0,4.80,24.0,
Stewart, DJ,2020,0,,26.5,
Edman, Tommy,2020,4,4.20,28.9,
Kiermaier, Kevin,2020,4,4.06,29.3,
Peterson, Jace,2020,0,,26.5,
Braun, Ryan,2020,0,4.64,26.0,
Markakis, Nick,2020,0,4.49,26.4,
Severino, Pedro,2020,0,4.47,26.6,
Reynolds, Bryan,2020,1,4.30,28.2,
O'Hearn, Ryan,2020,0,,26.5,
Knapp, Andrew,2020,0,,27.1,
Gosselin, Phil,2020,6,4.27,28.7,
Varsho, Daulton,2020,0,4.15,28.3,
White, Evan,2020,0,4.41,28.2,
Rendon, Anthony,2020,0,4.69,26.4,
Bradley Jr., Jackie,2020,0,4.37,27.3,
Pederson, Joc,2020,1,4.43,26.5,
Walsh, Jared,2020,1,4.50,26.5,
Dickerson, Alex,2020,0,4.37,27.0,
Andujar, Miguel,2020,0,4.55,26.5,
Hoskins, Rhys,2020,0,4.71,25.7,
Naylor, Josh,2020,0,4.46,26.9,
Arenado, Nolan,2020,0,4.79,24.8,
Ford, Mike,2020,0,4.72,24.3,
Choo, Shin-Soo,2020,0,4.48,25.9,
Perez, Salvador,2020,0,4.81,25.1,
Cronenworth, Jake,2020,2,4.28,28.7,
Robles, Victor,2020,4,4.39,28.0,
Camargo, Johan,2020,0,4.45,25.6,
Cameron, Daz,2020,0,4.44,28.0,
Jansen, Danny,2020,0,4.61,27.2,
Franco, Maikel,2020,0,4.75,24.6,
Sogard, Eric,2020,0,4.55,25.7,
Diaz, Elias,2020,0,,25.5,
Stewart, Christin,2020,0,,26.3,
Hayes, Ke'Bryan,2020,0,,28.0,
Bohm, Alec,2020,0,4.60,27.3,
Joyce, Matt,2020,0,,25.6,
Long Jr., Shed,2020,2,4.37,26.8,
Lopes, Tim,2020,0,4.31,28.4,
Gamel, Ben,2020,0,,26.7,
Jimenez, Eloy,2020,0,4.45,27.3,
Wade, Tyler,2020,0,4.21,28.3,
Solak, Nick,2020,0,4.25,28.6,
Heineman, Scott,2020,0,4.39,28.2,
Vogelbach, Daniel,2020,0,4.87,24.2,
Mercado, Oscar,2020,0,4.43,28.1,
Frazier, Todd,2020,0,4.84,24.2,
Rizzo, Anthony,2020,0,4.69,24.8,
Bruce, Jay,2020,0,,25.1,
Ramirez, Jose,2020,0,4.36,27.2,
Tejeda, Anderson,2020,0,,27.3,
Seager, Kyle,2020,0,4.56,25.4,
Cruz, Nelson,2020,0,4.73,25.2,
Madrigal, Nick,2020,0,4.29,28.0,
Espinal, Santiago,2020,0,,27.1,
Canha, Mark,2020,0,4.48,27.6,
Blackmon, Charlie,2020,0,4.43,26.8,
McBroom, Ryan,2020,0,,26.5,
Machin, Vimael,2020,0,4.64,25.9,
Walker, Christian,2020,0,4.50,26.9,
Avila, Alex,2020,0,,24.0,
Riddle, JT,2020,0,4.56,26.8,
Chirinos, Robinson,2020,0,5.01,23.3,
Fuentes, Josh,2020,0,4.42,27.7,
Riley, Austin,2020,1,4.58,26.8,
Sierra, Magneuris,2020,8,4.08,29.0,
Swanson, Dansby,2020,3,4.35,28.5,
Marte, Starling,2020,12,4.26,28.4,
Guzman, Ronald,2020,0,4.56,25.7,
Adell, Jo,2020,10,4.40,29.3,
Lowe, Brandon,2020,0,4.38,27.4,
Polanco, Gregory,2020,0,4.29,27.4,
Laureano, Ramon,2020,2,4.36,27.9,
Margot, Manuel,2020,7,4.27,28.4,
Newman, Kevin,2020,0,4.39,27.5,
Alberto, Hanser,2020,0,4.39,26.8,
Chapman, Matt,2020,0,4.54,27.5,
Dubon, Mauricio,2020,0,4.29,27.9,
Ruiz, Rio,2020,0,4.77,25.2,
Phillips, Brett,2020,1,4.12,28.9,
Adams, Matt,2020,0,,25.1,
Buxton, Byron,2020,19,4.05,30.0,
Jay, Jon,2020,0,,25.5,
Grichuk, Randal,2020,0,4.47,27.7,
DeJong, Paul,2020,0,4.60,26.5,
Bichette, Bo,2020,0,4.38,27.7,
Perez, Michael,2020,0,,24.9,
Smith, Will,2020,0,4.56,27.8,
Solano, Donovan,2020,0,4.46,26.6,
Turner, Trea,2020,54,4.10,30.0,
McCutchen, Andrew,2020,0,4.45,27.4,
Tauchman, Mike,2020,0,4.32,27.1,
Urshela, Gio,2020,0,4.75,24.9,
Taveras, Leody,2020,11,,29.1,
Valaika, Pat,2020,0,4.47,27.3,
Estrada, Thairo,2020,0,4.50,25.7,
Panik, Joe,2020,0,4.50,26.4,
Seager, Corey,2020,0,4.50,27.0,
Odor, Rougned,2020,0,4.48,27.0,
Nola, Austin,2020,0,4.73,26.3,
Sanchez, Gary,2020,0,,25.0,
Ozuna, Marcell,2020,0,4.51,27.1,
Goldschmidt, Paul,2020,0,4.62,26.4,
Bemboom, Anthony,2020,0,4.61,26.4,
Quinn, Roman,2020,29,3.94,30.5,
Ward, Taylor,2020,1,4.39,28.4,
Gregorius, Didi,2020,0,4.40,27.1,
Suarez, Eugenio,2020,0,4.69,25.9,
Barnes, Austin,2020,0,4.61,26.5,
Nottingham, Jacob,2020,0,,25.5,
Betts, Mookie,2020,7,4.31,28.3,
Voit, Luke,2020,0,4.88,25.0,
Candelario, Jeimer,2020,0,4.48,26.8,
Naquin, Tyler,2020,0,4.51,26.9,
Hosmer, Eric,2020,0,4.65,25.6,
McCann, James,2020,0,4.78,26.1,
Guerrero Jr., Vladimir,2020,0,4.73,25.3,
Zunino, Mike,2020,0,,25.2,
Starling, Bubba,2020,0,,28.0,
Mullins, Cedric,2020,14,,28.7,
Kepler, Max,2020,1,4.28,28.1,
Arroyo, Christian,2020,0,4.52,27.2,
Biggio, Cavan,2020,0,4.44,27.7,
Reddick, Josh,2020,0,4.47,26.2,
Tapia, Raimel,2020,5,4.26,28.2,
Gonzalez, Erik,2020,0,4.51,27.3,
Hays, Austin,2020,0,4.29,27.9,
Jones, JaCoby,2020,0,4.60,27.0,
Akiyama, Shogo,2020,0,4.13,27.7,
Gimenez, Andres,2020,0,4.20,28.9,
Meadows, Austin,2020,0,,26.5,
Garver, Mitch,2020,0,,25.5,
Castro, Harold,2020,0,4.61,25.2,
Reyes, Victor,2020,4,4.37,27.9,
Bellinger, Cody,2020,14,4.14,28.6,
Crawford, Brandon,2020,0,4.49,25.7,
Correa, Carlos,2020,0,4.44,27.2,
Santana, Danny,2020,0,,26.8,
Contreras, Willson,2020,0,4.41,27.3,
Bogaerts, Xander,2020,1,4.29,27.7,
Locastro, Tim,2020,23,4.14,30.7,
Dietrich, Derek,2020,0,4.44,26.9,
Garcia, Luis,2020,0,4.36,26.7,
Tatis Jr., Fernando,2020,14,4.26,29.4,
Pinder, Chad,2020,1,4.59,26.9,
Springer, George,2020,6,4.36,28.2,
Rios, Edwin,2020,0,,26.3,
Cano, Robinson,2020,0,4.68,24.8,
Bryant, Kris,2020,0,4.44,27.6,
Alfaro, Jorge,2020,0,4.40,28.0,
Perez, Roberto,2020,0,4.76,24.9,
Greiner, Grayson,2020,0,,26.9,
Machado, Manny,2020,0,4.56,26.4,
Mondesi, Adalberto,2020,26,4.16,29.4,
Tucker, Kyle,2020,0,4.34,27.6,
Vargas, Ildemaro,2020,0,4.57,27.0,
Brosseau, Mike,2020,0,4.49,27.8,
Kendrick, Howie,2020,0,4.86,24.8,
Marmolejos, Jose,2020,1,4.75,25.5,
Smith, Dwight,2020,0,,25.6,
Chavis, Michael,2020,0,4.41,28.1,
Kipnis, Jason,2020,0,4.40,27.5,
Guillorme, Luis,2020,0,,25.4,
Garcia, Leury,2020,0,4.08,28.3,
Olson, Matt,2020,1,4.66,25.9,
Goodrum, Niko,2020,1,,28.0,
Albies, Ozzie,2020,7,,28.0,
Trout, Mike,2020,6,4.33,28.9,
Flores, Wilmer,2020,0,4.73,25.1,
Tellez, Rowdy,2020,0,4.74,25.3,
Choi, Ji-Man,2020,0,,24.3,
Thames, Eric,2020,0,4.43,25.9,
Bregman, Alex,2020,0,4.53,27.0,
Osuna, Jose,2020,0,,27.2,
Renfroe, Hunter,2020,0,4.43,27.3,
Stanton, Giancarlo,2020,0,4.86,25.7,
Bart, Joey,2020,1,4.61,26.8,
Miller, Brad,2020,0,4.34,27.3,
Garcia, Avisail,2020,0,4.49,28.0,
Happ, Ian,2020,0,4.32,27.1,
Bote, David,2020,0,4.43,27.6,
Winker, Jesse,2020,0,4.59,26.4,
Mazara, Nomar,2020,0,4.56,25.8,
Arozarena, Randy,2020,1,4.30,28.8,
White, Eli,2020,10,,29.4,
Frazier, Clint,2020,0,4.56,27.5,
Turner, Justin,2020,0,4.78,25.4,
Grossman, Robbie,2020,0,4.34,27.5,
Conforto, Michael,2020,0,4.48,26.8,
Pillar, Kevin,2020,0,4.28,27.8,
Urias, Luis,2020,0,4.44,27.0,
Profar, Jurickson,2020,0,4.32,27.0,
Luplow, Jordan,2020,0,4.41,27.4,
Maldonado, Martin,2020,0,,23.6,
Dalbec, Bobby,2020,0,,26.8,
