last_name, first_name,year,player_age,b_ab,b_total_hits,b_single,b_strikeout,batting_avg,b_hit_ground,b_hit_line_drive,b_out_ground,
Mathias, Mark,2020,26,36,10,7,7,.278,2,8,8,
Hampson, Garrett,2020,26,167,39,27,60,.234,12,20,36,
Reynolds, Matt,2020,30,11,0,0,7,.000,0,0,3,
Grisham, Trent,2020,24,215,54,33,64,.251,17,33,50,
Stallings, Jacob,2020,31,125,31,21,40,.248,12,17,25,
Rosario, Eddie,2020,29,210,54,34,34,.257,14,27,51,
Castro, Willi,2020,23,129,45,33,38,.349,18,20,23,
Paredes, Isaac,2020,21,100,22,17,24,.220,10,12,28,
Grandal, Yasmani,2020,32,161,37,22,58,.230,8,23,30,
Castellanos, Nick,2020,28,218,49,22,69,.225,9,30,45,
Hechavarria, Adeiny,2020,31,59,15,12,12,.254,5,7,17,
Robertson, Daniel,2020,26,21,7,7,6,.333,3,4,5,
Soto, Juan,2020,22,154,54,27,28,.351,18,27,49,
Votto, Joey,2020,37,186,42,23,43,.226,11,19,46,
VanMeter, Josh,2020,25,70,9,4,24,.129,1,7,19,
Anderson, Tim,2020,27,208,67,45,50,.322,30,32,59,
Inciarte, Ender,2020,30,116,22,18,25,.190,6,12,37,
Calhoun, Kole,2020,33,190,43,18,50,.226,7,25,51,
Harrison, Monte,2020,25,47,8,6,26,.170,4,4,8,
Demeritte, Travis,2020,26,29,5,4,14,.172,1,4,5,
Davidson, Matt,2020,29,43,7,3,13,.163,0,3,9,
Trevino, Jose,2020,28,76,19,9,15,.250,6,11,21,
Freeman, Mike,2020,33,38,9,6,11,.237,3,5,6,
Stewart, DJ,2020,27,88,17,8,38,.193,3,8,20,
Edman, Tommy,2020,25,204,51,38,48,.250,20,22,61,
Kiermaier, Kevin,2020,30,138,30,19,42,.217,10,19,45,
Peterson, Jace,2020,30,45,9,6,20,.200,5,3,9,
Braun, Ryan,2020,37,129,30,14,27,.233,6,21,35,
Markakis, Nick,2020,37,130,33,17,23,.254,6,25,40,
Severino, Pedro,2020,27,160,40,29,40,.250,13,24,40,
Reynolds, Bryan,2020,25,185,35,20,57,.189,8,19,49,
O'Hearn, Ryan,2020,27,113,22,14,37,.195,6,14,30,
Knapp, Andrew,2020,29,72,20,13,19,.278,6,9,19,
Gosselin, Phil,2020,32,92,23,15,27,.250,6,14,19,
Varsho, Daulton,2020,24,101,19,9,33,.188,7,10,19,
White, Evan,2020,24,182,32,17,84,.176,10,17,34,
Rendon, Anthony,2020,30,189,54,33,31,.286,16,34,39,
Bradley Jr., Jackie,2020,30,191,54,36,48,.283,22,27,57,
